27894|3.758|2.39|-9.837|The BasketBots - Thomas Alleynes High School|GBSTQ2
27906|2.117|1.647|-19.639|Sirius Robotics - St Margaret Ward Catholic Academy|GBSTQ2
24967|0.045|1.547|-20.7|Wider horizons - Mary Webb School and Science College|GBSTQ2
19265|44.107|22.321|30.964|Tenby Techno Team - Ysgol Greenhill|GBSWQ
34023|28.107|12.571|6.714|Sentinel|GBSWQ
30663|19.911|11.295|-0.616|Roballtics - Cardiff Sixth Form College|GBSWQ
34024|13.661|7.545|-16.616|Emlyn Electronics - Ysgol Gyfun Emlyn|GBSWQ
25059|10.161|5.295|-29.116|The D-Code - Lewis Girls' School|GBSWQ
28315|9.411|5.795|1.134|BroBots - Ysgol Bro Taf|GBSWQ
27891|91.252|71.526|99.164|SPARKS - St Paul's School|GBWOQ
32112|35.439|27.69|38.206|SuMthingS Wrong|GBWOQ
28558|26.623|14.487|6.589|Gear Xtrema - Brighton College|GBWOQ
28567|25.93|9.759|22.375|Team Euclid - Harrow School|GBWOQ
33015|12.012|12.654|-29.356|Ibstock Robotics|GBWOQ
27913|9.439|6.69|-12.628|Challenge Challoners - Dr Challoners High School|GBWOQ
24696|9.186|8.336|-19.552|Reigate - Reigate Grammar School|GBWOQ
24408|8.063|-0.231|-15.541|Gordon's Robotics - Gordon's School|GBWOQ
19259|6.615|-1.069|-65.686|Gear Subzero - FIRST UK & Brighton College|GBWOQ
28559|2.865|7.681|-28.686|Gear Shift - Brighton College|GBWOQ
